youtube_url,requested_playback_time,derived_actual_playback_seconds,derived_drift_seconds,ingame_time,difference_seconds
https://youtube.com/watch?v=1NMI6KAUfGo,6:30,390.020,+0.020,1:20,310
https://youtube.com/watch?v=aXLYkPXJp0o,6:30,390.020,+0.020,0:45,345
https://youtube.com/watch?v=6yLZZ3T-PLk,6:30,390.020,+0.020,0:23,367
https://youtube.com/watch?v=C-Y4IAfBQHQ,6:30,390.020,+0.020,1:52,278
https://youtube.com/watch?v=KXUeg1WQgAs,6:30,390.020,+0.020,4:51,99
https://www.youtube.com/watch?v=ObQ2HieoLEE,6:30,390.020,+0.020,2:10,260
https://www.youtube.com/watch?v=PSM_n2Uh9MQ,6:30,390.020,+0.020,0:23,367
https://www.youtube.com/watch?v=6tia-YiM63o,6:30,390.020,+0.020,1:10,320
https://www.youtube.com/watch?v=iIWU_yIP8V0,6:30,390.020,+0.020,1:55,275
https://www.youtube.com/watch?v=Z-9Ata0-0SM,6:30,390.020,+0.020,6:43,-13
https://youtube.com/watch?v=xsrqGLBoR3M,6:30,390.020,+0.020,0:57,333
https://youtube.com/watch?v=dnQLZVYibb0,6:30,390.020,+0.020,1:58,272
https://youtube.com/watch?v=NXfJyLg86xA,6:30,390.020,+0.020,2:49,221
https://youtube.com/watch?v=2eXx9fkH74A,6:30,390.020,+0.020,0:59,331
https://www.youtube.com/watch?v=BN7yPMTSfFQ,6:30,390.020,+0.020,1:15,315
https://www.youtube.com/watch?v=xlJFyUxQqdQ,6:30,390.020,+0.020,1:28,302
https://www.youtube.com/watch?v=D_LmxbcL2Kk,7:30,450.034,+0.034,1:43,347
https://www.youtube.com/watch?v=1hosquamScQ,6:30,390.020,+0.020,4:13,137
https://www.youtube.com/watch?v=mE5ylNZmlc0,6:30,390.020,+0.020,1:18,312
https://www.youtube.com/watch?v=WGkvtoskSr0,6:30,390.020,+0.020,2:29,241
https://www.youtube.com/watch?v=U0YzVm_M9zw,6:30,390.020,+0.020,2:09,261
https://www.youtube.com/watch?v=v6h45_pjDD8,7:30,450.020,+0.020,1:50,340
https://www.youtube.com/watch?v=HrAhNf6aa5E,6:30,390.020,+0.020,0:42,348
https://www.youtube.com/watch?v=qQXX14xpoZs,6:30,390.020,+0.020,0:33,357
https://www.youtube.com/watch?v=pZZ7evlCjdA,6:30,390.020,+0.020,0:38,352
https://www.youtube.com/watch?v=gEpN2smPn9c,6:30,390.020,+0.020,4:53,97
https://www.youtube.com/watch?v=sxrYk8Jr8eQ,6:30,390.020,+0.020,0:42,348
https://www.youtube.com/watch?v=BG1nwo7mSeo,7:30,450.020,+0.020,5:28,122
https://www.youtube.com/watch?v=JxxULzKZGJw,6:30,390.020,+0.020,3:25,185
https://www.youtube.com/watch?v=GvDRCGc-Pfs,7:30,450.020,+0.020,3:00,270
https://www.youtube.com/watch?v=A1xXZ8oQw7U,6:30,390.020,+0.020,0:56,334
https://www.youtube.com/watch?v=cASeDrzP8_o,6:30,390.020,+0.020,2:19,251
https://www.youtube.com/watch?v=cViqAbr1IFk,7:30,450.020,+0.020,1:15,375
https://www.youtube.com/watch?v=UupDlHRnCOY,6:30,390.020,+0.020,2:58,212
