youtube_url,requested_playback_time,derived_actual_playback_seconds,derived_drift_seconds,ingame_time,difference_seconds
https://youtube.com/watch?v=UdwiDAkrvFY,15:00,900.017,+0.017,08:12,408
https://youtube.com/watch?v=r29HP2QZx1o,6:30,390.017,+0.017,00:53,337
https://youtube.com/watch?v=37Y2qHiTzuE,6:30,390.017,+0.017,00:49,341
https://youtube.com/watch?v=8WzilJ_58Js,6:30,390.017,+0.017,00:41,349
https://youtube.com/watch?v=vpWSrD8s0BE,6:30,390.017,+0.017,00:25,365
https://youtube.com/watch?v=kg1ygK-o6qo,6:30,390.017,+0.017,02:08,262
https://youtube.com/watch?v=SxFtQx6wu-Y,6:30,390.017,+0.017,01:38,292
https://youtube.com/watch?v=PRDEvPHluaE,6:30,390.017,+0.017,01:47,283
https://youtube.com/watch?v=rYidVg_M4j8,15:00,900.017,+0.017,06:30,510
https://youtube.com/watch?v=Iv8LKs2KpIA,6:30,390.017,+0.017,05:01,89
https://youtube.com/watch?v=sMfQ7hokuac,6:30,390.017,+0.017,02:44,226
https://youtube.com/watch?v=MXpj1vweBpA,15:00,900.017,+0.017,07:59,421
https://youtube.com/watch?v=__9q24NWKvo,6:30,390.017,+0.017,03:14,196
https://youtube.com/watch?v=PcRpmOZMyQ8,6:30,390.017,+0.017,02:01,269
https://youtube.com/watch?v=gjTZTyTHMKc,6:30,390.017,+0.017,02:32,238
https://youtube.com/watch?v=pJ6cC2BzG48,6:30,390.017,+0.017,00:18,372
https://youtube.com/watch?v=q0G2vS7dQFY,6:30,390.017,+0.017,00:56,334
https://youtube.com/watch?v=NhUoGaU97v8,15:00,900.017,+0.017,08:48,372
https://youtube.com/watch?v=s2qHRe7xuO8,6:30,390.017,+0.017,05:32,58
https://youtube.com/watch?v=fdTCZtYjiTo,6:30,390.017,+0.017,00:26,364
https://youtube.com/watch?v=od7BAA7N32s,6:30,390.017,+0.017,01:41,289
https://youtube.com/watch?v=9uujTYtiN0k,15:00,900.017,+0.017,08:27,393
https://www.youtube.com/watch?v=A2-1VAma7_g,15:00,900.017,+0.017,08:39,381
https://youtube.com/watch?v=4_ZzqS7TBM0,6:30,390.017,+0.017,00:37,353
https://youtube.com/watch?v=GYw-k4f2emk,6:30,390.017,+0.017,00:48,342
https://youtube.com/watch?v=u0r38qE7lPU,6:30,390.017,+0.017,00:28,362
https://youtube.com/watch?v=nJZ6IjP8px0,15:00,900.017,+0.017,08:16,404
https://youtube.com/watch?v=ZEqMRhoxiNI,15:00,900.017,+0.017,08:34,386
https://youtube.com/watch?v=NV53jw7etTY,6:30,390.017,+0.017,01:33,297
https://youtube.com/watch?v=CCXBDp3xzvQ,15:00,900.017,+0.017,08:59,361
https://youtube.com/watch?v=pbSK7ob0eIQ,6:30,390.017,+0.017,00:16,374
https://youtube.com/watch?v=s2mDEgZQJeY,6:30,390.017,+0.017,00:34,356
https://youtube.com/watch?v=lqT7gE_Ut7c,6:30,390.017,+0.017,00:21,369
https://youtube.com/watch?v=OPPiqgEshTw,15:00,900.017,+0.017,08:31,389
https://youtube.com/watch?v=ZjdDOm0O3eY,6:30,390.017,+0.017,00:43,347
https://youtube.com/watch?v=HOk3Ujzw_n4,15:00,900.017,+0.017,08:57,363
https://youtube.com/watch?v=yg1mqWCcbAo,6:30,390.017,+0.017,00:37,353
https://youtube.com/watch?v=C2tiBu6TG9Y,6:30,390.017,+0.017,03:32,178
https://youtube.com/watch?v=jY0rLFeoBHc,6:30,390.017,+0.017,00:59,331
https://youtube.com/watch?v=yoNeaWjL_AE,6:30,390.017,+0.017,00:20,370
https://youtube.com/watch?v=gFplh7Yl9IA,15:00,900.033,+0.033,06:54,486
https://youtube.com/watch?v=sE57tIJ7Qz4,15:00,900.017,+0.017,07:54,426
