youtube_url,requested_playback_time,derived_actual_playback_seconds,derived_drift_seconds,ingame_time,difference_seconds
https://youtube.com/watch?v=xISGpOc4HuE,15:00,900.020,+0.020,11:03,237
https://youtube.com/watch?v=vWdNBna35kk,15:00,900.020,+0.020,11:51,189
https://youtube.com/watch?v=G5ZI_HFUReU,15:00,900.020,+0.020,12:41,139
https://youtube.com/watch?v=F5kcSheBQJI,15:00,900.020,+0.020,08:05,415
https://youtube.com/watch?v=1iq0xi-E-nk,15:00,900.020,+0.020,12:01,179
https://youtube.com/watch?v=g4mzCGI83kQ,15:00,900.020,+0.020,09:50,310
https://www.youtube.com/watch?v=sbp3VEYA190,6:30,390.020,+0.020,02:41,229
https://www.youtube.com/watch?v=e-tT5zxI3ps,15:00,900.020,+0.020,09:39,321
https://www.youtube.com/watch?v=MiHdRqm1N44,15:00,900.020,+0.020,13:08,112
https://www.youtube.com/watch?v=-tZK8lN4StE,15:00,900.020,+0.020,10:27,273
https://www.youtube.com/watch?v=V_VdzB8amXw,15:00,900.020,+0.020,09:29,331
https://www.youtube.com/watch?v=ulicCgB4cDE,15:00,900.020,+0.020,07:42,438
https://www.youtube.com/watch?v=rM8vQ7Zbyws,15:00,900.020,+0.020,15:16,-16
https://www.youtube.com/watch?v=sM9uuWdpDtY,15:00,900.020,+0.020,07:52,428
https://youtube.com/watch?v=Kpz9owTAKBY,6:30,390.020,+0.020,00:35,355
https://www.youtube.com/watch?v=V3qs57BKTrs,15:00,900.020,+0.020,09:19,341
https://youtube.com/watch?v=kt8vBZ6L6lQ,15:00,900.020,+0.020,06:23,517
https://youtube.com/watch?v=lHV8Q6OQ34k,15:00,900.020,+0.020,09:25,335
https://www.youtube.com/watch?v=o2fM9j2Lwcs,15:00,900.020,+0.020,09:54,306
https://youtube.com/watch?v=s9AWGPNDRq0,15:00,900.020,+0.020,07:28,452
https://www.youtube.com/watch?v=-PurlJp3-d4,15:00,900.020,+0.020,08:33,387
https://youtube.com/watch?v=0oVjX4iQ5MU,6:30,390.020,+0.020,00:21,369
https://youtube.com/watch?v=qX5KJENqEAs,15:00,900.020,+0.020,09:47,313
https://youtube.com/watch?v=YvGyDdowE50,15:00,900.020,+0.020,05:16,584
https://www.youtube.com/watch?v=g6UHhXCxAEs,6:30,390.020,+0.020,00:37,353
https://youtube.com/watch?v=o76lg2j6ako,15:00,900.020,+0.020,07:51,429
https://youtube.com/watch?v=2s4Ziw2eRRU,15:00,900.020,+0.020,02:36,744
https://youtube.com/watch?v=4MqEf5GH7_k,6:30,390.020,+0.020,00:36,354
https://youtube.com/watch?v=Tog1yVj996Q,15:00,900.020,+0.020,07:10,470
https://youtube.com/watch?v=36gq3uWqXmc,15:00,900.020,+0.020,08:06,414
https://youtube.com/watch?v=U-7zaRAXe6o,15:00,900.020,+0.020,05:17,583
https://youtube.com/watch?v=6XX0Q7Ll8H4,15:00,900.020,+0.020,10:07,293
https://youtube.com/watch?v=IjuWFA5OPds,15:00,900.020,+0.020,06:52,488
https://youtube.com/watch?v=eWnn2opUKQg,8:17,,,00:31,466
https://youtube.com/watch?v=dz3cRJJKXK4,9:00,,,01:20,460
https://youtube.com/watch?v=hcgDlL2-FCY,15:00,900.020,+0.020,04:00,660
https://youtube.com/watch?v=lOtTn_Br64U,15:00,900.020,+0.020,06:58,482
https://youtube.com/watch?v=RAf4PNs4USM,15:00,900.020,+0.020,07:26,454
